metric,count,p50_us,p95_us,p99_us,mean_us,min_us,max_us
total_us,50,394469,576480,798531,421573,384958,798531
hot_path_us,50,270163,378545,621439,293111,265347,621439
sign_us,50,4073,4906,5003,3838,1037,5003
ok_count,50,,,,,,
error_count,0,,,,,,
