seq,t_get1,t_402,t_sign_start,t_sign_end,t_send,t_delivered,d_402_us,d_sign_us,d_hot_path_us,d_total_us,ok,error
0,1779441206311033,1779441206544027,1779441206544052,1779441206547922,1779441206548240,1779441207112235,232994,3870,563995,801202,true,
1,1779441207112272,1779441207233057,1779441207233098,1779441207237149,1779441207237480,1779441207514107,120785,4051,276627,401835,true,
2,1779441207514124,1779441207629034,1779441207629050,1779441207633730,1779441207634133,1779441207909375,114910,4680,275242,395251,true,
3,1779441207909384,1779441208023862,1779441208023884,1779441208028192,1779441208028413,1779441208294305,114478,4308,265892,384921,true,
4,1779441208295125,1779441208433209,1779441208433229,1779441208436423,1779441208436640,1779441208706858,138084,3194,270218,411733,true,
5,1779441208706874,1779441208824931,1779441208824960,1779441208830961,1779441208831131,1779441209096583,118057,6001,265452,389709,true,
6,1779441209096616,1779441209212530,1779441209212556,1779441209214548,1779441209214720,1779441209480505,115914,1992,265785,383889,true,
7,1779441209480520,1779441209602287,1779441209602300,1779441209606346,1779441209606593,1779441209885967,121767,4046,279374,405447,true,
8,1779441209886044,1779441210047228,1779441210047243,1779441210051204,1779441210051476,1779441210393044,161184,3961,341568,507000,true,
9,1779441210393063,1779441210527894,1779441210527907,1779441210531784,1779441210532030,1779441210799097,134831,3877,267067,406034,true,
10,1779441210799114,1779441210944907,1779441210944924,1779441210948868,1779441210949121,1779441211314579,145793,3944,365458,515465,true,
11,1779441211314598,1779441211436986,1779441211437002,1779441211440357,1779441211440554,1779441211703279,122388,3355,262725,388681,true,
12,1779441211703303,1779441211817180,1779441211817196,1779441211821044,1779441211821285,1779441212084948,113877,3848,263663,381645,true,
13,1779441212084976,1779441212210555,1779441212210584,1779441212214932,1779441212215158,1779441212480995,125579,4348,265837,396019,true,
14,1779441212481028,1779441212598676,1779441212598707,1779441212603207,1779441212603445,1779441212869284,117648,4500,265839,388256,true,
15,1779441212869317,1779441212986613,1779441212986640,1779441212991007,1779441212991203,1779441213255220,117296,4367,264017,385903,true,
16,1779441213255243,1779441213368982,1779441213368999,1779441213373289,1779441213373516,1779441213637599,113739,4290,264083,382356,true,
17,1779441213637647,1779441213755471,1779441213755503,1779441213759218,1779441213759418,1779441214031522,117824,3715,272104,393875,true,
18,1779441214031552,1779441214148883,1779441214148889,1779441214150019,1779441214150104,1779441214430503,117331,1130,280399,398951,true,
19,1779441214430534,1779441214547364,1779441214547389,1779441214551968,1779441214552129,1779441214814603,116830,4579,262474,384069,true,
20,1779441214814637,1779441214933192,1779441214933221,1779441214936777,1779441214936975,1779441215200641,118555,3556,263666,386004,true,
21,1779441215200675,1779441215314690,1779441215314712,1779441215319513,1779441215319658,1779441215584508,114015,4801,264850,383833,true,
22,1779441215584523,1779441215703046,1779441215703061,1779441215707404,1779441215707684,1779441215972847,118523,4343,265163,388324,true,
23,1779441215972874,1779441216088847,1779441216088870,1779441216093677,1779441216094069,1779441216358700,115973,4807,264631,385826,true,
24,1779441216358730,1779441216475243,1779441216475275,1779441216480196,1779441216480640,1779441216743934,116513,4921,263294,385204,true,
25,1779441216743980,1779441216860393,1779441216860420,1779441216862567,1779441216862734,1779441217131761,116413,2147,269027,387781,true,
26,1779441217131795,1779441217272851,1779441217272880,1779441217277399,1779441217277600,1779441217543116,141056,4519,265516,411321,true,
27,1779441217543144,1779441217657337,1779441217657364,1779441217660836,1779441217661107,1779441217925100,114193,3472,263993,381956,true,
28,1779441217925130,1779441218041151,1779441218041183,1779441218045095,1779441218045350,1779441218313511,116021,3912,268161,388381,true,
29,1779441218313541,1779441218430544,1779441218430574,1779441218435469,1779441218435636,1779441218699706,117003,4895,264070,386165,true,
30,1779441218699739,1779441218816252,1779441218816280,1779441218819897,1779441218820092,1779441219087429,116513,3617,267337,387690,true,
31,1779441219087459,1779441219203003,1779441219203029,1779441219207263,1779441219207630,1779441219470682,115544,4234,263052,383223,true,
32,1779441219470717,1779441219586581,1779441219586608,1779441219591132,1779441219591377,1779441219857361,115864,4524,265984,386644,true,
33,1779441219857393,1779441219974208,1779441219974220,1779441219975918,1779441219976053,1779441220240640,116815,1698,264587,383247,true,
34,1779441220240653,1779441220360579,1779441220360611,1779441220364857,1779441220365071,1779441220629306,119926,4246,264235,388653,true,
35,1779441220629333,1779441220742845,1779441220742875,1779441220747612,1779441220747850,1779441221011680,113512,4737,263830,382347,true,
36,1779441221011712,1779441221133543,1779441221133572,1779441221138203,1779441221138381,1779441221406641,121831,4631,268260,394929,true,
37,1779441221406666,1779441221520461,1779441221520487,1779441221524434,1779441221524601,1779441221795558,113795,3947,270957,388892,true,
38,1779441221795587,1779441221915187,1779441221915199,1779441221918946,1779441221919175,1779441222182232,119600,3747,263057,386645,true,
39,1779441222182247,1779441222296811,1779441222296835,1779441222301175,1779441222301407,1779441222566184,114564,4340,264777,383937,true,
40,1779441222566220,1779441222683685,1779441222683719,1779441222688785,1779441222688966,1779441222951707,117465,5066,262741,385487,true,
41,1779441222951723,1779441223065860,1779441223065885,1779441223068163,1779441223068342,1779441223332164,114137,2278,263822,380441,true,
42,1779441223332191,1779441223448312,1779441223448325,1779441223451585,1779441223451808,1779441223716441,116121,3260,264633,384250,true,
